# following ideographs were merged, because they share an identical L1 IDS
# ╪ 扌 not merged, for they're belonging to different ideographs
# ⺊ 𠂉 not merged, for they're belonging to different ideographs
# 〢 刂 not merged, for they're belonging to different ideographs
# 〣 川 not merged, for they're belonging to different ideographs
# 㐅 乂. 乂J not merged, for they're belonging to different ideographs
㐌.	㐌T
㯘.	㯘T
㯫.	㯫T
㯹.	㯹T
㯻.	㯻K
㱁.	㱁T
㱄.	㱄T
㱈.	㱈T
㱎.	㱎T
㱺.	㱺T
㲎.	㲎T
㲡.	㲡T
㲼.	㲼J
㳂.	㳂T
㳈.	㳈T
㳗K	㳗T
㴎.	㴎T
㴒.	㴒H
㴲H	㴲J
㵣.	㵣T
㵰.	㵰T
㵱.	㵱T
㵳.	㵳T
㶛.	㶛T
㷈.	㷈T
㷎.	㷎T
㷾.	㷾T
㸚.	㸚d
㸮.	㸮T
㸱.	㸱T
㸷.	㸷T
㸺.	㸺K
㹃.	㹃H
㹇.	㹇T
㺈.	㺈T
㺋.	㺋T
㺒.	㺒T
㺞.	㺞T
㺟.	㺟T
# 㺩T 玏 not merged, for they're belonging to different ideographs
# 㺪 玐. 玐T not merged, for they're belonging to different ideographs
㻐.	㻐K
㻗.	㻗H
㻢.	㻢H
㻯.	㻯T
㻹.	㻹T
㼂.	㼂T
㼤.	㼤T
㼼.	㼼T
㽎K	㽎T
㽢.	㽢T
# 㽳. 𤴲 not merged, for they're belonging to different ideographs
㿂.	㿂T
㿃.	㿃T
㿇.	㿇T
㿑.	㿑T
㿖.	㿖T
# 㿝 𣌡 not merged, for they're belonging to different ideographs
㿣.	㿣T
# 㿻 盂 not merged, for they're belonging to different ideographs
䀃.	䀃T
䀊.	䀊T
䁆.	䁆T
䁦.	䁦V
䁿.	䁿T
䄅.	䄅T
䄋.	䄋T
䄐.	䄐T
䄟.	䄟T
# 䄨 秆 not merged, for they're belonging to different ideographs
䄬.	䄬T
䅖.	䅖T
䅥.	䅥T
䅺.	䅺T
䇗.	䇗T
䈍.	䈍T
䈓.	䈓T
䈵.	䈵T
䉘.	䉘T
䊫.	䊫T
䊮.	䊮T
䊶.	䊶T
䋉.	䋉T
䋵.	䋵T
䌌.	䌌T
䌦.	䌦T
䍿.	䍿T
# 䎢. 𦓪. not merged, for they're belonging to different ideographs
䏇K	䏇T
䏌.	䏌K
# 䏏. 肝. not merged, for they're belonging to different ideographs
# 䏏T 肝H not merged, for they're belonging to different ideographs
䏚.	䏚K
# 䐋. 䶼 not merged, for they're belonging to different ideographs
䐥H	䐥T
䒑.	䒑t
䒔.	䒔J
䔅.	䔅V
䔖H	䔖K
䔽H	䔽J
䕀K	䕀T
䕯K	䕯T
䖉.	䖉T
䖍J	䖍T
䖎J	䖎T
䖏.	䖏T
䖐K	䖐T
䖒.	䖒T
䖓J	䖓T
䖗.	䖗T
䖚K	䖚T
䖜K	䖜T
䖟.	䖟T
䖫.	䖫T
䗂K	䗂T
䗈.	䗈T
䗐.	䗐T
䘗.	䘗T
䘴.	䘴T
䙂.	䙂T
䙣.	䙣T
䚦K	䚦T
䛳.	䛳T
䝇.	䝇K
䝋.	䝋T
䝯.	䝯T
䞦.	䞦H
䞸.	䞸T
# 䟔 趴. 趴T not merged, for they're belonging to different ideographs
䟙.	䟙K
䠊.	䠊T
䠠.	䠠T
䠡.	䠡T
䡆.	䡆T
䡈.	䡈K
䡾.	䡾T
䣟.	䣟T
䤏.	䤏T
䤬.	䤬K
䤵.	䤵H
䤶.	䤶T
䥀.	䥀T
䥆.	䥆T
䥗.	䥗T
䥛.	䥛T
䥟.	䥟T
䥢.	䥢J
䥰.	䥰T
䦇.	䦇T
䦪.	䦪T
䧝.	䧝T
䧣.	䧣T
# 䧲 𨾌 not merged, for they're belonging to different ideographs
䨽.	䨽T
䨾.	䨾T
䨿.	䨿T
䩀.	䩀T
䩁.	䩁T
# 䩐 𩉟 not merged, for they're belonging to different ideographs
# 䩒 靬 not merged, for they're belonging to different ideographs
䩶.	䩶T
䩺.	䩺T
䪡K	䪡T
䪧.	䪧T
䫃.	䫃K
䫍.	䫍T
䫘.	䫘T
䫴.	䫴T
# 䬣. 𩚋. not merged, for they're belonging to different ideographs
# 䬣T 𩚋T not merged, for they're belonging to different ideographs
䭸.	䭸K
䭻.	䭻T
䯯.	䯯K
䯳.	䯳T
䰕.	䰕T
䰸.	䰸T
䰿.	䰿T
䱈.	䱈T
䱞.	䱞T
䱩.	䱩T
䱵.	䱵T
䲌.	䲌T
䲐K	䲐T
䳳.	䳳T
䴞.	䴞T
䵝.	䵝T
䵞.	䵞T
䵟.	䵟T
䵠.	䵠T
䵢.	䵢T
䵣.	䵣T
䵥.	䵥T
䵦.	䵦T
䵧.	䵧T
䵬.	䵬T
䵭.	䵭T
䵮.	䵮T
䵯.	䵯T
䵱.	䵱T
䵽.	䵽T
䵿.	䵿T
䶔.	䶔T
䶥.	䶥T
# 丁 丅 丆 not merged, for they're belonging to different ideographs
七.	七T	七t
丈.	丈K
且.	且t
丘.	丘t
业.	业t
並.	並t
# 丩 𠄍 not merged, for they're belonging to different ideographs
# 个. 𠆤 not merged, for they're belonging to different ideographs
丰.	丰.t
久.	久d
义.	义K
# 乎 𠂟 not merged, for they're belonging to different ideographs
乜.	乜H
# 乞 𠧒 not merged, for they're belonging to different ideographs
也.	也H
习.	习z
乸.	乸H
# 于 干 not merged, for they're belonging to different ideographs
亘.	亘t
亚.	亚t
亞.	亞t
亟H	亟J
# 亠. 冫 not merged, for they're belonging to different ideographs
亡.	亡H
亡J	亡V
交J	交K
亦.	亦H
亾.	亾T
# 仆 仈. not merged, for they're belonging to different ideographs
他.	他H
仗.	仗J
佾.	佾K
侫.	侫H
倧.	倧T
倰H	倰J
倷.	倷T
健.	健K
偰.	偰K
偰H	偰T
傂H	傂K
# 傘V 𠌂 not merged, for they're belonging to different ideographs
傟.	傟T
僀.	僀T
僄.	僄T
僇.	僇H
僭.	僭J
僸H	僸T
儕.	儕H
儢.	儢H
儿.	儿t	儿w
兀.	兀t
允.	允t
元.	元t
兄.	兄t
兆.	兆t
先.	先t
光.	光t
兊.	兊T	兊d
克.	克t
兌.	兌J	兌T
兑.	兑t
兒.	兒t
兓.	兓J
# 八. 八T 八d 卜 not merged, for they're belonging to different ideographs
公.	公T
# 六. 卞. not merged, for they're belonging to different ideographs
# 六J 卞J not merged, for they're belonging to different ideographs
共.	共n
# 兵 𠔊. 𠔊T not merged, for they're belonging to different ideographs
其.	其n
冏H	冏J
冘.	冘t
凇.	凇T
凌H	凌J
凛.	凛T
# 凞T 𤎹 not merged, for they're belonging to different ideographs
# 凢 凣 not merged, for they're belonging to different ideographs
刄.	刄J
分.	分T
切.	切J
剕.	剕H
剹.	剹H
剽.	剽T
劀H	劀J
劇.	劇H
劑.	劑H
劣.	劣H
劷.	劷J
勘H	勘J
勠.	勠H
勡.	勡T
勮.	勮T
勴.	勴H
# 勹 𠁡 not merged, for they're belonging to different ideographs
勻	匀J
匃.	匃T
匄.	匄H
匕T	匕th	匕wh
匛.	匛J
匜.	匜H
匪.	匪H
匸.	匸H
# 十 𠂇 𬺰 not merged, for they're belonging to different ideographs
卂.	卂T
# 千. 千p 𠂌 not merged, for they're belonging to different ideographs
# 卄 廾 not merged, for they're belonging to different ideographs
# 卉 𠦄V not merged, for they're belonging to different ideographs
卌.	卌T
南.	南V
# 卟 叭. not merged, for they're belonging to different ideographs
卦.	卦V
厞.	厞H
又.	又d
双.	双d	双n
叒.	叒J	叒K
叕.	叕J	叕K
叚.	叚d
史.	史K
吂.	吂T
各.	各d
吏.	吏K
吔.	吔H
吩.	吩T
吵.	吵H
呁H	呁K
呩.	呩T
呬.	呬J
咃.	咃T
咠.	咠J
咡.	咡J
咬J	咬K
哋.	哋H
哎.	哎J
哎H	哎K
哛.	哛K
哥.	哥J
哧.	哧H
# 哻 𠳲 not merged, for they're belonging to different ideographs
哽.	哽J
哾J	哾T
唆H	唆J
唌.	唌J
唦.	唦H
唬H	唬K
唵.	唵T
啡.	啡H
啩.	啩V
啿H	啿J
喃.	喃V
喝.	喝H
喫.	喫K
喫H	喫T
嗁H	嗁J
嗕.	嗕H
嗡.	嗡T
嗤.	嗤T
嘌.	嘌T
嘐.	嘐H
嘑.	嘑H
嘒H	嘒J
嘘.	嘘T
嘙.	嘙T
噄.	噄T
噆.	噆J
噊H	噊K
噓.	噓H
噤H	噤T
噱.	噱H
噿.	噿H
嚁.	嚁H
嚇.	嚇H
嚌.	嚌H
嚧.	嚧H
嚹.	嚹H
囐.	囐H
囓.	囓T
四.	四J
囧H	囧J
図.	図J
囶.	囶J
圂.	圂J
土.	土t
圥.	圥w
圭.	圭t
地.	地H
均H	均J
坋.	坋T
坌.	坌T
坴H	坴J
坹.	坹T
埂.	埂K
埈H	埈J
埏H	埏J
埯.	埯T
堨.	堨H
堪H	堪J
堯.	堯t
塕.	塕T
墂.	墂T
墆.	墆H
墈H	墈J
墟H	墟J
壚.	壚H
士.	士t
壴.	壴t
壵.	壵T
夂.	夂d
夊.	夊J	夊d
夋J	夋w.
夋K	夋T
夌H	夌J
夌K	夌T
夎K	夎T
奄.	奄T
奈.	奈T
契.	契K
契H	契T
奕H	奕T
奙.	奙T
奜.	奜K
奫.	奫H
她.	她H
妄.	妄H
妐.	妐T
妙.	妙H
妢.	妢T
姸.	姸H
姿K	姿T
娑.	娑H
娧.	娧T
婃.	婃T
婆.	婆H
婈H	婈J
婋H	婋J
婓.	婓H
婔.	婔H
婜.	婜H
婺.	婺H
媷.	媷H
媸.	媸T
嫖.	嫖T
嫪.	嫪H
嫭.	嫭H
嬥.	嬥H
嬩.	嬩T
嬴H	嬴T
子.	子t
孔.	孔V
孖.	孖t
孤.	孤V
孪.	孪T
孫.	孫V
孮.	孮T
孺.	孺V
# 宂H 穴.w not merged, for they're belonging to different ideographs
宗.	宗T
寐J	寐V
寥.	寥H
寥J	寥V
射H	射V
小.	小s
尐.	尐H
少.	少H
尖.	尖H
尛.	尛T
尜.	尜H
尟.	尟H
尠H	尠J	尠T
尺.	尺d
尽.	尽d
屄.	屄T
屛.	屛J
屝.	屝H
屮.	屮p
# 屹 𡵊 not merged, for they're belonging to different ideographs
岎.	岎T
岔.	岔T
岤.	岤T
峦.	峦T
峹.	峹T
峺.	峺J
峻H	峻J
崇.	崇T
崚H	崚J
崦.	崦T
崧.	崧T
崺.	崺H
嵁H	嵁K
嵍.	嵍T
嵑.	嵑H
嵕H	嵕J
嵡.	嵡T
嵺.	嵺H
嵽.	嵽H
嶍.	嶍H
嶵.	嶵H
嶼.	嶼T
巀.	巀H
巘.	巘H
巚.	巚T
巠.	巠t
工.	工t
已.	已t
帉.	帉T
帟.	帟H
帨J	帨T
帲.	帲J
帶.	帶H
幆.	幆H
幖.	幖T
幵.	幵H	幵T
幷.	幷J
庭J	庭K
庵.	庵T
廖.	廖H
廖J	廖V
廗.	廗H
廪.	廪T
廬.	廬H
廴.	廴J
延.	延tw
延H	延K
廷J	廷K
廸.	廸J
廹.	廹J
建.	建K
廻.	廻K
廽.	廽J
弅.	弅T
弈.	弈H
弍.	弍H
弎.	弎T
弛.	弛H
弢.	弢J
弭.	弭J
弯.	弯T
彁.	彁J
彗H	彗J
# 彡 彳 not merged, for they're belonging to different ideographs
彣J	彣K
彯.	彯T
彵.	彵T
彸.	彸T
徐.	徐V
徖.	徖T
徘.	徘H
徤.	徤J
徱.	徱T
# 忓 𢖳 not merged, for they're belonging to different ideographs
忘.	忘H
忙.	忙H
忚.	忚T
忞.	忞T
忩.	忩T
忪.	忪T
忿.	忿T
怬.	怬K
怷.	怷K
怹.	怹H
恋.	恋T
恋J	恋V
恝.	恝T
恣J	恣T
恱.	恱T
恳.	恳T
悅.	悅K	悅T
悛H	悛J
悰.	悰T
悱.	悱H
悲.	悲H
惘.	惘H
愒.	愒H
愖H	愖J
愗.	愗T
慃.	慃T
慓.	慓T
慧H	慧J
慮.	慮H
慴.	慴H
慸.	慸T
憀.	憀H
憰H	憰K
懅.	懅H
懘.	懘H
懠.	懠H
懾H	懾J
戎.	戎J
戡H	戡J
戮.	戮H
戳.	戳H
扉.	扉H
# 手 龵 not merged, for they're belonging to different ideographs
# 扑 扒. 扒T not merged, for they're belonging to different ideographs
扙.	扙K
# 扜 扞 not merged, for they're belonging to different ideographs
扡.	扡H
扨J	扨T
扮.	扮T
抄.	抄H
拖.	拖H
挕.	挕V
挘.	挘H
挛.	挛T
挩.	挩J	挩T
挭.	挭J
挱.	挱H
挲.	挲H
挺J	挺K
捘H	捘J
捴.	捴T
捺.	捺T
排.	排H
掛.	掛V
探H	探J
掩.	掩T
掰.	掰K	掰T
揓.	揓H
揕H	揕J
揖.	揖J
揭.	揭H
揳.	揳K
揳H	揳T
揵.	揵J
搋H	搋K
搤.	搤J
搿H	搿J
摂.	摂J
摎.	摎H
摕.	摕T
摢.	摢T
摺.	摺H
摺J	摺K
摽.	摽T
撬.	撬H
擄.	擄H
據.	據H
擠.	擠H
擢.	擢H
擢J	擢V
擱.	擱H
攄.	攄H
攍H	攍T
攎.	攎H
攑.	攑T
攝H	攝J
支.	支d
攴.	攴d
攵.	攵d
敄.	敄d
文.	文.d
文J	文K	文sd
斉J	斉K
斎.	斎T
斐.	斐H
斐J	斐K	斐V
斟H	斟J
斧.	斧K
# 斳J 𣂷H not merged, for they're belonging to different ideographs
斵.	斵J
施.	施H
旚.	旚T
旟.	旟T
旡.	旡t
既.	既t
旦.	旦t
# 旰 旴 not merged, for they're belonging to different ideographs
昀H	昀K
昐.	昐T
昖.	昖T
晙H	晙J
晻.	晻T
暃.	暃J
暆.	暆H
暇.	暇V
暍.	暍H
暡.	暡T
曜.	曜H
曥.	曥T
更.	更K
曷.	曷H
朁.	朁J
朂.	朂H
朅.	朅H
朌.	朌T
朘H	朘K
朙H	朙J
朚.	朚T
未.	未V
朮.	朮J
# 朳. 朳T 朴 not merged, for they're belonging to different ideographs
# 杅 杆 not merged, for they're belonging to different ideographs
杖.	杖K
杗.	杗H
杝.	杝H
杧.	杧H
杪.	杪H
松.	松T
枃H	枃K
枌.	枌T
柂.	柂H
柗.	柗T
柩.	柩J
柰H	柰T
柶.	柶J
柼.	柼T
栔.	栔K
栞.	栞J
校J	校K
栾.	栾H
桫.	桫H
梗.	梗K
梤.	梤T
梭H	梭J
梲.	梲J	梲T
棇.	棇T
棎H	棎K
棐.	棐H
棑.	棑H
棕.	棕T
棢.	棢T
棨J	棨T
棱H	棱J
棻H	棻T
棼.	棼T
椃H	椃J
椕.	椕T
椸.	椸H
椹H	椹J
楔.	楔J
楔H	楔T
楗.	楗J
楘.	楘K
楫.	楫J
楬.	楬H
極H	極J
榧.	榧H
榩.	榩H
榹H	榹K
槢.	槢H
槥H	槥J
標.	標T
樛.	樛H
橇.	橇H
橘H	橘J
檌.	檌H
檦.	檦T
櫂.	櫂H
櫅.	櫅H
櫊.	櫊H
櫖.	櫖T
櫝H	櫝J
櫨.	櫨H
櫸.	櫸T
次K	次T
款.	款T
歀.	歀T
歁H	歁K
歇.	歇H
歌.	歌J
歑.	歑H
歟.	歟H	歟T
止.	止t
正.	正t
步.	步V
歩.	歩J
殗.	殗T
殢.	殢H
殰H	殰J
毑.	毑T
比H	比th
毛.	毛t
毟.	毟J
毤.	毤K
毮.	毮J
毳.	毳H
毴.	毴T
毼.	毼H
毽.	毽K
氄H	氄J
氓.	氓H
氛.	氛J
氺.	氺s
# 汃. 汃T 𣱶 not merged, for they're belonging to different ideographs
汒.	汒H
# 汔 𣲁 not merged, for they're belonging to different ideographs
# 汗 汙 not merged, for they're belonging to different ideographs
汛.	汛J
池.	池H
汾.	汾T
沙.	沙H
沭J	沭T
沲.	沲H
沶.	沶T
泗.	泗J
波.	波d
泬.	泬T
洂.	洂H
洱.	洱J
浚H	浚J
浫K	浫T
浭.	浭K
浻H	浻K
浾.	浾H
涗.	涗J	涗T
淕H	淕J
淙.	淙T
淞.	淞T
淩H	淩J
深H	深J
淲H	淲K
淵.	淵H
淹.	淹T
渄.	渄H
渉.	渉J
渴.	渴H
渺.	渺H
渻.	渻H
湒.	湒J
湕.	湕K
湙H	湙T
湛H	湛J
湤.	湤H
湾.	湾T
溽.	溽H
滃.	滃T
滍.	滍T
滏.	滏J
滒.	滒K
滯.	滯H
滹.	滹H
漂.	漂T
漝.	漝T
漴.	漴T
漻.	漻H
潏H	潏J
潔.	潔T
潛.	潛J
澬K	澬T
澽.	澽H
澿H	澿T
濊.	濊J
濟.	濟H
濢.	濢H
濯.	濯H
濾.	濾H
瀆H	瀆J
瀈.	瀈T
瀘.	瀘H
瀛H	瀛T
瀥.	瀥T
瀷.	瀷H
灄H	灄J
灜H	灜T
灸.	灸J
灺.	灺H
炂.	炂T
炃.	炃T
炒.	炒H
炧.	炧H
烎H	烎T
烱H	烱J
焌H	焌J
焏.	焏J
焧.	焧T
焹.	焹T
煁H	煁J
煡.	煡K
煢.	煢K	煢T
熛.	熛T
熠.	熠H
熤.	熤H
熮.	熮T
燏H	燏K
燿.	燿H
爀.	爀H
爈.	爈T
爐.	爐H
父.	父K
# 爷 𠛈 not merged, for they're belonging to different ideographs
爸.	爸J
爹.	爹J
爺H	爺K
爻.	爻J	爻d
牠.	牠H
牤.	牤T
犍.	犍J
犢H	犢J
狋.	狋T
狏.	狏T
狖.	狖T
狡J	狡K
狻H	狻J
猀.	猀H
猅.	猅T
猆.	猆T
猇H	猇J
猔.	猔T
猰.	猰K
猰H	猰T
猲.	猲H
獝H	獝J
獹.	獹T
獻.	獻H
玅.	玅H
王.	王t
# 玕 玗 not merged, for they're belonging to different ideographs
玜.	玜T
玢.	玢T
珥.	珥J
琛H	琛J
琥H	琥J
琮.	琮T
琲.	琲H
璆.	璆H
璚H	璚J
璩.	璩H
璵.	璵H	璵T
璻.	璻H
璾.	璾H
瓐.	瓐H
瓛.	瓛H
瓢.	瓢T
瓫.	瓫T
瓮.	瓮T
甗.	甗H
甚H	甚J
生.	生t
甦.	甦K
甧.	甧J
电.	电w
甿.	甿H
畇H	畇K
畯H	畯J
疁.	疁T
# 疔. 𤴫 not merged, for they're belonging to different ideographs
痧.	痧H
痱.	痱H
痷.	痷T
瘛.	瘛T
瘧.	瘧H
瘭.	瘭T
瘳.	瘳H
癠.	癠H
癶.	癶d
皂.	皂T
皮.	皮d
# 皯 𤿍 not merged, for they're belonging to different ideographs
盆.	盆T
盧.	盧H
# 盰 盱 not merged, for they're belonging to different ideographs
盲.	盲H
盳.	盳H
盷H	盷K
盼.	盼T
省.	省H
眇.	眇H
県.	県J
眎.	眎T
眔.	眔T
睃H	睃K
睖H	睖J
睦H	睦J
睷.	睷K
瞈.	瞈T
瞟.	瞟T
瞲H	瞲K
矅.	矅H
矞H	矞J
砂.	砂H
砌.	砌J
砏.	砏T
砤.	砤T
硏.	硏J
硬.	硬K
硰.	硰H
硹.	硹T
硻.	硻T
硽.	硽T
碂.	碂T
碆.	碆T
碣.	碣H
碪H	碪J
碶.	碶K
磃H	磃K
磖.	磖T
磟.	磟H
磡H	磡J
磦.	磦T
礜.	礜H	礜T
礮J	礮K
示.	示T
祂.	祂H
祟.	祟T
票.	票T
禀.	禀T
禁H	禁T
禊H	禊T
禜.	禜T
禦H	禦T
秎.	秎T
秒.	秒H
秫H	秫J
稄H	稄K
稅.	稅K	稅T
稉.	稉J
稑H	稑J
稜H	稜J
稧.	稧K
穋.	穋H
穥.	穥H	穥T
穧.	穧H
穫J	穫V
穴.	穴.d	穴T
穴J	穴K
# 穻. 𥤱. not merged, for they're belonging to different ideographs
# 穻H 𥤱T not merged, for they're belonging to different ideographs
窫H	窫T
窾H	窾T
立.	立.t
立J	立st
竕.	竕T
竞	竞.t
竟.	竟.t
竟J	竟st
竧.	竧H
竭.	竭H
竹.	竹V
# 竽 竿 not merged, for they're belonging to different ideographs
竾.	竾H
笀.	笀H
笀K	笀V
笅.	笅K
# 笇. 𥫰 not merged, for they're belonging to different ideographs
笉H	笉K
# 笋 𥬁 not merged, for they're belonging to different ideographs
筂.	筂H
筑H	筑T
筓.	筓K
筠H	筠J
筵H	筵K
箎H	箎J
箵.	箵H
箷.	箷H
篎.	篎H
篚.	篚H
篪H	篪J
篲H	篲J
篻.	篻T
籅.	籅H	籅T
籊.	籊H
籚.	籚H
籝H	籝T
籯H	籯T
籸.	籸K
籾J	籾K
粀.	粀K
粂.	粂J
粆.	粆H
粉.	粉T
粚.	粚T
粽.	粽T
糂H	糂J
糶.	糶H
# 紆. 𥾍 not merged, for they're belonging to different ideographs
紋J	紋K
紗.	紗H
紛.	紛T
紛J	紛K
絁.	絁H
絜.	絜T
絞J	絞K
綜.	綜T
網.	網H
網J	網V
緋.	緋H
総.	総T
総J	総K
緲.	緲H
緳.	緳T
縄.	縄T
縟.	縟H
縣.	縣T
縹.	縹T
繆.	繆H
纑.	纑H
罅.	罅H
罏.	罏H
罔.	罔H
罔K	罔V
罕H	罕J
罨.	罨T
罪.	罪H
羊.	羊.p	羊tp
羏.	羏K
羒.	羒T
羝.	羝V
羝H	羝J
羡J	羡T
羧H	羧K
羯.	羯H	羯J
羴.	羴J
羸H	羸T
羼.	羼T
羽.	羽z.
羽K	羽zp
羿.	羿H
翁.	翁T
翂.	翂T
翆.	翆T
翌.	翌H
翏.	翏H
習.	習H
翔.	翔J
翟.	翟H
翠.	翠H
翡.	翡H
翡J	翡V
翣.	翣H
翨.	翨H
翫.	翫H
翬.	翬H
翯.	翯H
翲.	翲T
翼.	翼H
翼K	翼V
耀.	耀H
耳.	耳J
耳hy	耳ty
耷.	耷J
耸.	耸K
聞.	聞K
聟.	聟J
聡H	聡T
聳.	聳J
聶H	聶J
聻.	聻J
聽.	聽J
聾J	聾K
# 肐. 𦘸. not merged, for they're belonging to different ideographs
# 肐H 𦘸T not merged, for they're belonging to different ideographs
肓.	肓H
肞H	肞J
肦.	肦T
肸.	肸J
肸H	肸T
脔.	脔H	脔T
脫.	脫K
脫H	脫T
腁.	腁K
腌H	腌T
腓.	腓J
腙H	腙T
腱.	腱K
膘H	膘T
膚.	膚H
膠J	膠V
膬.	膬K
臍H	臍T
臤.	臤d
至.	至t
與.	與H	與T
舉.	舉H	舉T
舟.	舟.t.
舟J	舟st.
舥H	舥V
舩H	舩T
航H	航V
艋H	艋V
艤H	艤V
艩H	艩T
艮.	艮d
# 艼. 𦫺. not merged, for they're belonging to different ideographs
# 艼H 𦫺T not merged, for they're belonging to different ideographs
艾.	艾J
艾H	艾K
# 芉. 芋. not merged, for they're belonging to different ideographs
# 芉T 芋H not merged, for they're belonging to different ideographs
芔.	芔J
芬.	芬J
芬H	芬T
# 苄H 𦬩T not merged, for they're belonging to different ideographs
苆.	苆J
# 茖. 茗V not merged, for they're belonging to different ideographs
茨K	茨T
茰.	茰J
茰H	茰K
茸.	茸J
茸H	茸K
茿H	茿T
荺H	荺K
荾H	荾K
莄.	莄J
莄K	莄T
莌K	莌T
莎.	莎J
莎H	莎T
莏H	莏T
莚H	莚K
菘.	菘J
菘H	菘T
菱H	菱K
菲.	菲J
菴H	菴T
萘H	萘T
葐.	葐K
葐H	葐T
葚H	葚K
葛H	葛K
葜.	葜J
葜H	葜T
葺.	葺J
蒆H	蒆T
蒶H	蒶T
蓊.	蓊J
蓊H	蓊T
蔆H	蔆K
蔈H	蔈T
蔕H	蔕K
蔖H	蔖K
蔢K	蔢T
蕜.	蕜J
薅H	薅K
薋K	薋T
薐H	薐K
薸H	薸T
薺H	薺T
藇H	藇T
藒H	藒K
蘆H	蘆K
蘌H	蘌T
蘏H	蘏T
虍.	虍H
虎.yt	虎H	虎J	虎wyt
虐.	虐H
虑.	虑T
虒H	虒J
虓H	虓J
虔.	虔H
虔J	虔K
處.	處H
處J	處T
虖.	虖H
虗.	虗T
虘.	虘T
虙.	虙H
虚.	虚T
虛.	虛H
虜.	虜H
虜K	虜T
虝J	虝T
號H	號J
虢H	虢K
虣H	虣J
虤H	虤J
虥H	虥K
虧.	虧H
虨.	虨H
虩H	虩J	虩T
虪H	虪K
# 虲 𧈢 not merged, for they're belonging to different ideographs
虵.	虵T
# 虶 虷 not merged, for they're belonging to different ideographs
虻.	虻H
蚐H	蚐K
蚠.	蚠T
蚡.	蚡T
蚣.	蚣T
蚥.	蚥K
蚩.	蚩T
蛩H	蛩T
蛪.	蛪T
蛮.	蛮T
蛮J	蛮V
蛻.	蛻J	蛻T
蜒H	蜒J
蜙.	蜙T
蜚.	蜚H
蜵.	蜵H
蝄.	蝄T
蝎.	蝎H
蝨.	蝨J	蝨K
蝱.	蝱H
螉.	螉T
螔H	螔K
螫.	螫H	螫T
螮.	螮H
螵.	螵T
蟉.	蟉H
蠀K	蠀T
蠃H	蠃T
蠍.	蠍H
蠐.	蠐H
蠗.	蠗H
蠦.	蠦H
蠽.	蠽H
衁.	衁H
衈.	衈J
術H	術K
# 补 𧘋. 𧘋T not merged, for they're belonging to different ideographs
# 衦 衧. not merged, for they're belonging to different ideographs
衪.	衪H
衯.	衯T
衳.	衳T
袁.	袁d
袕.	袕T
袘.	袘H
袞J	袞K
